Business Number,URL,Title,Content,Class
1,https://www.monshaat.gov.sa/ar/node/12654,مؤسسة تحول رقمي لتقنية نظم المعلومات,تحول رقمي لتقنية نظم المعلومات. المؤسسة الاولى في منطقة حائل لتعزيز مفهوم التحول الرقمي في المملكة العربية السعودية من خلال تنفيذ انظمة وبرمجيات في أحدث التقنيات وتكنولوجيا المعلومات والذكاء الاصطناعي  بوجود مهندسين ذو مستوى عالي في المجال الرقمي والتقني,حلول تقنية
2,https://www.monshaat.gov.sa/ar/node/12553,شركة حال سيمبلفاي سوليوشنز العربية لتقنية المعلومات,شركة حل لتقديم الخدمات التقنية: نشرالبرامج الجاهزة ،تصميم وبرمجة البرمجيات الخاصة ،التسجيل لتقديم خدمات الحوسبة السحابية,حلول تقنية
3,https://www.monshaat.gov.sa/ar/node/12507,مؤسسة النحل لتقنية المعلومات,مؤسسة النحل لتقنية المعلومات مؤسسة تقنية سعودية تقدم جميع الحلول التقنية متواجدين في الرياض ونخدم جميع مدن المملكة ودول الخليجالخدمات التي نقدمها:-برمجة المواقع الالكترونية وتصميمها تصميم احترافي.-برمجة تطبيقات الجوال وتصميمها تصميم احترافي-ادارة حسابات التواصل الاجتماعي وادارة الحملات الاعلانية الخاصة بها-تصميم فيديو موشن جرافيك- تصميم منشورات مواقع التواصل الاجتماعي-تصميم الهوية البصرية كاملة-كتابة المحتوى (للمواقع الالكترونية - تطبيقات الجوال - منصات التواصل الاجتماعي - ملفات التعريف للشركات)-خدمات الامن السيبراي للشركات-خدمات المدن الذكية-برمجة البرامج الخاصة بالشركات,حلول تقنية
4,https://www.monshaat.gov.sa/ar/node/12364,الجدوى,الجدوى منصة تقنية تقدم منتجات رقمية لدراسة جدوى المشاريع الريادية وتطويرها,حلول تقنية
5,https://www.monshaat.gov.sa/ar/node/12360,مؤسسة ربط المتقدمة لتقنية المعلومات,كيان يعمل على برامج الفوترة الالكترونية السحابية التي تتطابق مع مواصفات هيئة الزكاة والضريبة والجمارك,حلول تقنية
6,https://www.monshaat.gov.sa/ar/node/12350,الحلول الفريدة للتخزين,خدمات التخزين بالطبلية حسب الطلب بعقود مرنة في المدن الرئيسية للمملكة، ومن مزايا الخدمة:درجات حرارة مختلفة للتخزين:التخزين الجاف - التخزين المكيف - التخزين المبرد - التخزين المجمد.مساحات تخزين مرنة:تخزين بالطبلية يبدأ بأعداد منخفضة.عقود مرنة:تتوفر الخدمة بعقود قصيرة المدى أو طويلة المدى حسب حاجة العميل.خدمات تخزين 3PL متكاملة:تشمل جميع العمليات التشغيلية للمستودعات من استلام المنتجات وفحصها وتخزينها وإخراجها عند طلب العميل.خدمات إضافية:نوفر العديد من الخدمات الإضافية مثل توفير الطبليات الخشبية والتغليف المرن ونحوها.أسعار مناسبة:نوفر الخدمة بأسعار مناسبة وتنافسية.مستودعات مرخصة:جميع المستودعات مرخصة حسب التراخيص المطلوبة لطبيعة المواد بالمستودع مثل تراخيص هيئة الغذاء والدواء والدفاع المدني.الانتشار الجغرافي:مساحات التخزين متوفرة في مدن الرياض والدمام وجدة.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
7,https://www.monshaat.gov.sa/ar/node/12331,الفاتورة الإلكترونية,نقدم خدمة الفاتورة الإلكترونية المتوافقة مع شروط ولوئح هيئة الزكاة والدخل، يدعم جميع الأنشطة والقطاعات، يمكن تجربة البرنامج مجانا، نقدم خدمة الدعم الفني و تدريب مجاني للخدمة,حلول تقنية
8,https://www.monshaat.gov.sa/ar/node/12296,مؤسسة رؤى برمجية لتقنية المعلومات,رؤى برمجية توفر لك مجموعة متنوعة من الخدمات والحلول التقنية، المقدمه بأفضل جودة وفي أسرع وقت، لتتناسب مع جميع إحتياجاتك,حلول تقنية
9,https://www.monshaat.gov.sa/ar/node/12287,باقات الخدمات القانونية للمتاجر الالكترونية,باقة المتاجر الإلكترونية: تقدم الباقة خدمات قانونية تضمن استيفاء المتاجر الإلكترونية للمتطلبات النظامية وتطبيق معايير الموثوقية التي تتطلبها وزارة التجارة.,تنظيمية وقانونية
10,https://www.monshaat.gov.sa/ar/node/9601,اوبشنز كورنر,إنشاء وتطوير المتاجر,حلول تقنية
